2024-09-04 10:05:16.043657 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.046658 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.050194 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.053186 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.055195 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.357801 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.360802 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.362802 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.365804 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.369145 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.371146 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.374142 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.376652 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.379673 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.382673 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.384673 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.388720 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.391384 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.394408 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.397965 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.400023 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.403974 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.408493 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.412491 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.415551 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.419011 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.715863 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.720118 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.723116 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.726574 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.730607 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.733607 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.736664 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.739682 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.743682 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.746679 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.749058 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.752052 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.755057 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.758509 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.760517 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.763509 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.766509 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.769559 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.772557 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.775558 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:16.778068 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:17.056641 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:17.059568 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:17.062559 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:17.065559 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:17.068816 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:17.071400 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
